"NDAI4","SD4","CORR4","DF4","CF4","BF4","AF4","AN4"
-1.198056,0.61918408,0.12476059,290.46863,280.80673,264.3006,240.92612,226.48145
-1.0993546,1.7023363,0.16873324,316.28748,295.46335,270.9281,247.15627,225.77823
1.0816375,0.56151783,0.095971763,234.8766,222.71252,212.36668,204.82164,195.86536
1.1930263,1.2715068,0.17462885,312.11639,284.61658,266.82925,241.46317,217.88399
-1.017308,1.324589,0.10763855,280.89343,274.72351,260.85199,238.89838,226.57295
-1.1821434,1.7997251,0.13548853,297.64764,284.6503,264.10553,239.65938,222.95335
-0.71744972,3.1439598,0.13746823,304.86514,287.14044,269.56503,241.13564,223.1412
1.3110094,0.90061563,0.17277429,270.5741,252.77231,231.50023,207.03723,194.3578
-0.82239336,0.67341256,0.13088095,290.30728,282.50696,264.36801,236.97659,222.89555
2.5815892,6.8063054,0.24391012,351.47925,299.95956,257.99097,236.218,217.12299
0.9319644,0.61042601,0.15415034,261.68042,246.58792,227.70724,208.84824,195.32109
-1.1130832,1.6245095,0.13055378,294.37482,279.93735,263.45288,238.78278,222.73662
-0.71557003,2.7526317,0.13070486,293.58252,284.47693,265.37708,238.77315,224.05875
1.0827214,0.90057522,0.13744564,247.28391,237.17407,223.50966,209.41417,197.46925
-0.72556788,0.55744994,0.12768871,289.43307,278.08542,261.01334,240.08083,225.64578
0.038346354,1.202695,0.11122328,283.52084,269.83957,262.19098,240.37463,226.30563
-0.90072954,1.4573168,0.13397235,289.52219,281.20169,262.37399,236.56238,221.77814
-0.74200356,0.69397759,0.12483797,294.61563,284.96338,267.12549,243.56798,230.03601
-0.76379991,3.8433585,0.15121938,303.00839,281.13666,263.76837,241.68231,225.31825
1.0838907,0.83841461,0.14285544,259.34924,243.71005,224.97629,208.5737,195.82924
0.64432752,0.39789271,0.16999224,278.93552,257.68753,234.43829,208.39067,195.71123
-0.96628869,0.78073978,0.10348753,292.86002,290.94547,265.22296,241.10675,228.86079
1.053079,1.099878,0.13548186,245.48012,232.30219,219.25909,201.75354,192.29875
-0.5061509,5.8939085,0.14937502,304.0849,292.28928,273.80115,243.87141,222.59212
-0.92609781,1.4539984,0.14678662,298.43512,283.10904,265.8443,241.11397,222.64268
-1.0573871,3.0721817,0.15977243,309.38303,297.67651,273.73129,247.64755,225.85048
-0.88280362,0.73209077,0.12698138,294.28329,284.77795,267.23627,242.88644,228.16962
-1.0252998,1.7401071,0.12108432,291.64627,283.35709,263.15668,237.66295,224.30197
-0.925726,0.5703088,0.12852684,294.18698,284.24332,266.79312,241.44148,226.89566
-1.1887921,0.63422453,0.13804978,293.73663,282.78873,261.82492,237.89896,223.0545
-1.0459188,0.66340613,0.12399408,294.82275,286.18195,268.22845,242.80696,228.98361
